county_state,absolute,latitude,longitude
Hancock IA,55.1,43.092013,-93.705072
Hardin IL,,37.478453,-88.290573
Henderson IA,50.4,,
Henry IL,46.9,41.348782,-90.134757
Iroquois IL,47.4,40.763597,-87.834391
Jackson IL,40.5,37.747793,-89.274031
Jasper IL,53.0,39.003765,-88.159885
Jefferson IL,43.0,38.308488,-88.910808
Jersey IL,46.4,39.072862,-90.32042
Jo Daviess IA,50.3,,
Johnson IL,44.4,37.474558,-88.882358
Kane IL,41.4,41.918111,-88.331264
Kankakee IL,40.9,41.148582,-87.850867
Kendall IL,49.2,41.663724,-88.379066
Knox IL,41.7,40.937032,-90.328601
Lake IL,42.7,42.313072,-87.969458
La Salle IL,45.2,,
Lawrence IN,44.8,38.846386,-86.495718
Lawrence IN,39.7,38.846386,-86.495718
Lawrence IN,44.8,38.846386,-86.495718
Lawrence IN,39.7,38.846386,-86.495718
Lee IL,45.2,41.810242,-89.398207
Livingston IL,46.9,40.907044,-88.573187
Logan IL,45.1,40.140775,-89.361505
McDonough IL,48.2,40.469472,-90.669344
McHenry IL,46.7,42.271472,-88.34988
Mclean IL,42.7,,
Macon IL,39.5,39.851176,-88.947076
Macoupin IL,44.3,39.19403,-89.877035
Madison IL,41.4,38.801396,-90.018097
Marion IL,40.8,38.59071,-89.016967
Marion IL,40.8,38.59071,-89.016967
Marion IL,44.5,38.59071,-89.016967
Marion MO,44.5,39.740805,-91.455661
Marshall IL,47.4,41.043034,-89.315638
Mason IL,43.1,40.286475,-89.898924
Massac KY,41.4,,
Menard IL,46.8,39.99726,-89.799507
Mercer IL,50.8,41.214043,-90.687167
Monroe MO,51.1,39.520553,-91.973958
Monroe MO,47.5,39.520553,-91.973958
Monroe MO,51.1,39.520553,-91.973958
Monroe MO,47.5,39.520553,-91.973958
Montgomery IL,44.2,39.198961,-89.505319
Morgan IL,41.4,39.718155,-90.231161
Moultrie IL,45.8,39.631979,-88.614419
Ogle IL,45.8,42.028653,-89.256098
Peoria IL,37.9,40.742915,-89.638993
Perry IL,45.2,38.058514,-89.323862
Piatt IL,46.6,40.007008,-88.581585
Pike IL,47.4,39.621311,-90.859127
Pike IL,47.4,39.621311,-90.859127
Pike IL,43.8,39.621311,-90.859127
Pike MO,43.8,39.363535,-91.156139
Pope KY,,,
Pulaski IL,38.6,37.199543,-89.13475
Putnam IL,42.6,41.229306,-89.270945
Randolph IL,47.7,38.055541,-89.809249
Richland IL,46.2,38.725943,-88.088315
Rock Island IL,42.0,41.489142,-90.504005
St Clair MO,37.6,,
St Clair MO,44.3,,
St Clair MO,37.6,,
St Clair MO,44.3,,
Saline IL,42.8,37.754786,-88.536395
Sangamon IL,39.4,39.772757,-89.652867
Schuyler IL,47.9,40.13118,-90.568639
Scott IL,42.6,39.645737,-90.462754
Scott IL,42.6,39.645737,-90.462754
Shelby IL,45.9,39.396539,-88.802073
Stark IL,50.1,41.098377,-89.792451
Stephenson IL,42.5,42.324139,-89.644541
Tazewell IL,43.9,40.602899,-89.534104
Union IL,42.8,37.46858,-89.236505
Vermilion IN,40.8,,
Wabash IN,44.8,40.858522,-85.802372
Wabash IN,41.2,40.858522,-85.802372
Wabash IN,44.8,40.858522,-85.802372
Wabash IN,41.2,40.858522,-85.802372
Warren IL,45.0,40.890638,-90.636371
Washington IL,50.6,38.359407,-89.39393
Wayne IL,48.7,38.406869,-88.422496
White IL,46.7,38.089959,-88.192241
Whiteside IL,43.9,41.780798,-89.823253
Will IL,42.4,41.565138,-88.057232
Williamson IL,41.1,37.755675,-88.974979
Winnebago IL,38.0,42.307128,-89.06224
Woodford IL,48.3,40.771239,-89.29031
Adams IN,45.3,40.753767,-84.934317
Allen IN,38.6,41.098642,-85.122329
Bartholomew IN,39.0,39.216785,-85.902794
Benton IN,50.0,40.575066,-87.291433
Blackford IN,39.7,40.469726,-85.34419
Boone IN,42.6,40.013009,-86.398737
Brown IN,44.1,39.236241,-86.20969
Carroll IN,47.7,40.578983,-86.600098
Carroll IN,39.0,40.578983,-86.600098
Carroll IN,47.7,40.578983,-86.600098
Carroll IN,39.0,40.578983,-86.600098
Cass IN,42.1,40.747104,-86.339592
Cass IN,40.6,40.747104,-86.339592
Cass IN,42.1,40.747104,-86.339592
Cass IN,40.6,40.747104,-86.339592
Clark KY,39.4,37.986825,-84.182232
Clark KY,35.5,37.986825,-84.182232
Clark KY,39.4,37.986825,-84.182232
Clark KY,35.5,37.986825,-84.182232
Clay IN,43.6,39.469066,-87.124217
Clinton IN,41.8,40.298201,-86.512307
Crawford KY,42.6,,
Daviess IN,46.2,38.696963,-87.098076
Dearborn IN,42.5,39.14462,-84.920935
Decatur IN,42.8,39.319975,-85.494211
De Kalb IN,41.2,,
Delaware IN,36.7,40.20517,-85.401962
Dubois IN,52.7,38.357067,-86.914032
Elkhart IN,41.0,41.637679,-85.906728
Fayette IN,35.2,39.640791,-85.147496
Floyd KY,39.7,37.552299,-82.738526
Floyd KY,42.0,37.552299,-82.738526
Floyd KY,39.7,37.552299,-82.738526
Floyd KY,42.0,37.552299,-82.738526
Fountain IN,44.6,40.152089,-87.271946
Franklin IN,39.1,39.401885,-85.070265
Fulton IN,42.7,41.059389,-86.220078
Gibson IN,47.9,38.30918,-87.546685
Grant IN,37.3,40.525253,-85.644413
Greene IN,43.7,39.052316,-86.992172
Hamilton IN,43.2,40.002534,-86.059737
Hancock IN,42.5,39.811662,-85.824125
Harrison KY,44.6,38.415966,-84.314823
Harrison KY,39.0,38.415966,-84.314823
Harrison KY,44.6,38.415966,-84.314823
Harrison KY,39.0,38.415966,-84.314823
Hendricks IN,45.3,39.772784,-86.415055
Henry IN,39.8,39.928644,-85.403678
Howard IN,37.3,40.470704,-86.132959
Huntington IN,41.6,40.870224,-85.487085
Jackson IN,42.4,38.925896,-85.942654
Jasper IN,48.7,41.075783,-87.149436
Jay IN,43.9,40.428424,-85.033025
Jefferson IN,41.3,38.758956,-85.433692
Jennings IN,40.4,39.005169,-85.648821
Johnson IN,41.6,39.553276,-86.113609
Knox IN,45.2,38.698623,-87.45768
Kosciusko IN,43.7,41.266796,-85.830484
Lagrange IN,49.0,,
Lake IN,39.4,41.526226,-87.408155
La Porte IN,39.8,,
Madison IN,37.2,40.11412,-85.708901
Marion IN,35.0,39.791299,-86.135905
Marshall IN,43.3,41.347248,-86.273082
Martin IN,44.3,38.678357,-86.848113
Miami IN,40.7,40.730651,-86.073933
Monroe IN,38.3,39.162879,-86.537697
Montgomery IN,43.8,40.03511,-86.90006
Morgan IN,41.2,39.512251,-86.399318
Newton IN,45.7,40.994087,-87.380385
Noble IN,42.8,41.413892,-85.391205
Ohio IN,,38.954549,-84.911295
Orange IN,41.4,38.562156,-86.496982
Owen IN,39.1,39.315596,-86.799822
Parke IN,44.1,39.758327,-87.227997
Perry IN,45.6,38.009327,-86.705205
Pike IN,48.7,38.424833,-87.233923
Porter IN,44.8,41.513679,-87.105308
Posey IN,44.6,38.013245,-87.823041
Pulaski IN,45.4,41.050592,-86.685266
Putnam IN,42.1,39.646107,-86.835611
Randolph IN,42.5,40.168573,-84.997064
Ripley IN,48.2,39.159402,-85.218379
Rush IN,42.4,39.623616,-85.474569
St Joseph IN,38.4,,
St Joseph IN,40.6,,
St Joseph IN,38.4,,
St Joseph IN,40.6,,
Scott IN,36.3,38.698198,-85.762718
Shelby IN,41.7,39.536039,-85.789825
Spencer IN,49.5,38.015495,-87.011149
Starke IN,41.2,41.282896,-86.631962
Steuben IN,41.5,41.649521,-85.010662
Sullivan IN,44.5,39.103093,-87.390988
Switzerland IN,42.5,38.819835,-85.023499
Tippecanoe IN,42.4,40.41788,-86.886971
Tipton IN,44.1,40.308849,-86.050587
Union IN,44.0,39.618626,-84.919102
Vanderburgh IN,39.2,37.996062,-87.551819
Vermillion IN,42.7,39.763164,-87.440231
Vigo IN,40.4,39.460817,-87.387985
Warren IN,,40.312186,-87.326289
Warrick IN,44.6,38.012884,-87.352574
Washington KY,41.4,37.738655,-85.190875
Washington KY,44.4,37.738655,-85.190875
Washington KY,41.4,37.738655,-85.190875
Washington KY,44.4,37.738655,-85.190875
Wayne IN,37.4,39.842737,-84.949811
Wells IN,45.6,40.770771,-85.194412
White IN,45.7,40.755698,-86.810306
Whitley IN,44.9,41.163144,-85.47848
Adair IA,54.3,41.344629,-94.479157
Adams IA,,41.006693,-94.709635
Allamakee IA,55.3,43.25705,-91.417115
Appanoose IA,48.3,40.739836,-92.867034
Audubon IA,55.6,41.676829,-94.925302
Benton IA,50.4,42.06222,-92.017478
Black Hawk IA,44.1,42.490851,-92.370013
Boone IA,47.0,42.026494,-93.895155
Bremer IA,55.0,42.743058,-92.376967
Buchanan IA,52.8,42.486957,-91.901041
Buena Vista IA,52.3,42.679153,-95.181444
Butler IA,56.0,42.707538,-92.758692
Calhoun IA,54.4,42.400162,-94.625331
Carroll IA,59.8,42.038571,-94.867634
Cass IA,52.4,41.365898,-94.979466
Cedar IA,51.8,41.757883,-91.137388
Cerro Gordo IA,48.7,43.135116,-93.246222
Cherokee IA,55.1,42.749288,-95.593937
Chickasaw IA,57.0,43.038059,-92.344319
Clarke IA,49.2,41.036835,-93.78126
Clay IA,49.7,43.127315,-95.159571
Clayton IA,55.3,42.860097,-91.322919
Clinton IA,46.9,41.852707,-90.335737
Crawford IA,55.0,42.027366,-95.358454
Dallas IA,48.5,41.645223,-93.923368
Davis IA,51.1,40.765097,-92.415821
Decatur IA,46.4,40.71001,-93.821366
Delaware IA,56.3,42.482434,-91.383342
Des Moines IA,41.6,40.833525,-91.141489
Dickinson IA,51.3,43.389624,-95.133548
Dubuque IA,52.7,42.493726,-90.759915
Emmet MN,54.0,,
Fayette IA,53.9,42.820385,-91.855375
Floyd IA,53.4,43.074625,-92.75233
Franklin IA,49.3,42.755202,-93.240318
Fremont IA,50.5,40.747942,-95.623322
Greene IA,48.5,42.029792,-94.375962
Grundy IA,54.8,42.380262,-92.748284
Guthrie IA,51.0,41.669446,-94.431251
Hamilton IA,49.4,42.407552,-93.766985
Hardin IA,53.3,42.436775,-93.215799
Harrison IA,50.5,41.662391,-95.807433
Henry IA,51.9,40.981343,-91.537058
Howard IA,58.4,43.361616,-92.231027
Humboldt IA,55.2,42.74679,-94.215551
Ida IA,55.8,42.391343,-95.504381
Iowa IA,54.7,41.702615,-92.039923
Jackson IA,51.1,42.139283,-90.566782
Jasper IA,48.9,41.678374,-93.070038
Jefferson IA,49.3,41.013171,-91.964603
Johnson IA,45.9,41.679755,-91.55831
Jones IA,51.6,42.136467,-91.198513
Keokuk IA,54.4,41.325439,-92.17499
Kossuth IA,58.5,43.147016,-94.22057
Lee IA,44.7,40.55857,-91.396226
Linn IA,45.4,42.009607,-91.647251
Louisa IA,48.3,41.22579,-91.259929
Lucas IA,51.8,41.021148,-93.313045
Lyon IA,60.0,43.385265,-96.218544
Madison IA,48.9,41.347064,-93.989405
Mahaska IA,50.3,41.31208,-92.641016
Marion IA,50.5,41.35483,-93.04269
Marshall IA,45.8,42.031353,-92.938421
Mills IA,48.8,41.04967,-95.695267
Mitchell IA,56.7,43.336257,-92.803247
Monona IA,49.2,42.063026,-95.985135
Monroe IA,51.9,41.035615,-92.827682
Montgomery IA,48.9,41.008619,-95.167995
Muscatine IA,45.7,41.464065,-91.078997
Obrien IA,54.9,,
Osceola IA,56.4,43.38638,-95.680373
Page IA,50.5,40.747616,-95.188476
Palo Alto IA,54.8,43.099878,-94.690212
Plymouth IA,57.3,42.747907,-96.203431
Pocahontas IA,58.3,42.745402,-94.700868
Polk IA,42.6,41.623296,-93.641654
Pottawattamie IA,44.0,41.278533,-95.79515
Poweshiek IA,50.8,41.709953,-92.620663
Ringgold IA,,40.733763,-94.23852
Sac IA,57.2,42.375805,-95.088801
Shelby IA,52.9,41.665153,-95.320336
Sioux IA,59.4,43.079825,-96.16727
Story IA,51.1,42.026371,-93.601827
Tama IA,51.1,42.065599,-92.542587
Taylor IA,51.9,40.755364,-94.673438
Union IA,48.9,41.053083,-94.318925
Union IA,52.8,41.053083,-94.318925
Union IA,48.9,41.053083,-94.318925
Union IA,52.8,41.053083,-94.318925
Van Buren IA,50.4,40.745557,-91.939134
Wapello IA,44.1,41.016218,-92.418385
Warren IA,50.1,41.400885,-93.588243
Washington IA,47.0,41.361978,-91.695465
Wayne IA,51.2,40.740054,-93.312926
Wayne IA,59.6,40.740054,-93.312926
Wayne IA,51.2,40.740054,-93.312926
Wayne IA,59.6,40.740054,-93.312926
Webster IA,44.4,42.480374,-94.179066
Winnebago IA,49.8,43.34288,-93.667031
Winneshiek IA,58.0,43.281284,-91.814375
Woodbury IA,44.5,42.483225,-96.344174
Worth IA,47.4,43.36654,-93.252258
Wright IA,49.8,42.732195,-93.755488
Allen KS,44.7,37.896584,-95.367053
Anderson KS,47.3,38.250112,-95.264386
Atchison KS,46.1,39.555583,-95.181488
Barber KS,56.9,37.212182,-98.557384
Barton KS,50.9,38.394738,-98.757739
Bourbon MO,44.9,,
Brown KS,50.7,39.801273,-95.550384
Butler KS,45.2,37.727135,-96.989771
Chase KS,,38.358336,-96.559378
Chautauqua KS,,37.111002,-96.231466
Cherokee MO,43.6,,
Cheyenne KS,,39.768136,-101.738994
Clark KS,,37.290453,-99.873033
Clay KS,50.3,39.356195,-97.12257
Cloud KS,51.2,39.53395,-97.637247
Coffey KS,47.9,38.247657,-95.739982
Comanche KS,,37.23627,-99.365215
Cowley KS,44.0,37.174285,-96.997786
Crawford MO,44.7,38.059819,-91.322802
Crawford MO,42.0,38.059819,-91.322802
Crawford MO,44.7,38.059819,-91.322802
Crawford MO,42.0,38.059819,-91.322802
Decatur KS,,39.804329,-100.490859
Dickinson KS,46.1,38.881314,-97.149128
Doniphan MO,49.6,,
Douglas KS,40.6,38.941783,-95.251337
Edwards KS,,37.914412,-99.354911
Elk KS,,37.421638,-96.236702
Ellis KS,53.1,38.88156,-99.32999
Ellsworth KS,54.8,38.721016,-98.262851
Finney KS,45.3,37.97733,-100.86582
Ford KS,45.3,37.751112,-99.994842
Franklin KS,43.0,38.602731,-95.260071
Geary KS,37.2,39.03865,-96.83925
Gove KS,,39.047631,-100.374241
Graham KS,,39.359746,-99.857852
Grant KS,47.7,37.580306,-101.34973
Gray KS,54.4,37.726577,-100.412964
Greeley KS,,38.487089,-101.763211
Greenwood KS,48.8,37.85753,-96.226569
Hamilton KS,,37.979185,-101.76766
Harper KS,50.0,37.215092,-98.051218
Harvey KS,46.3,38.047085,-97.385273
Haskell KS,,37.500029,-100.89411
Hodgeman KS,,38.083504,-99.867564
Jackson KS,48.6,39.400924,-95.751346
Jefferson KS,49.6,39.210891,-95.397856
Jewell KS,,39.775457,-98.201227
Johnson MO,46.5,38.757209,-93.770312
Johnson MO,42.5,38.757209,-93.770312
Johnson MO,46.5,38.757209,-93.770312
Johnson MO,42.5,38.757209,-93.770312
Kearny KS,,37.954211,-101.237967
Kingman KS,52.3,37.608437,-98.097712
Kiowa KS,,37.598711,-99.257059
Labette KS,44.8,37.258236,-95.260544
Lane KS,,38.503002,-100.487778
Leavenworth KS,41.1,39.238518,-94.959302
Lincoln KS,,39.036065,-98.175271
Linn MO,44.5,39.796774,-93.065191
Linn MO,48.4,39.796774,-93.065191
Linn MO,44.5,39.796774,-93.065191
Linn MO,48.4,39.796774,-93.065191
Logan KS,,39.098288,-100.925261
Lyon KS,45.5,38.416154,-96.179779
McPherson KS,49.1,38.381163,-97.647603
Marion KS,49.8,38.326437,-97.124507
Marshall KS,58.6,39.800028,-96.573612
Meade KS,,37.292089,-100.394216
Miami MO,47.9,,
Mitchell KS,56.9,39.454968,-98.174198
Montgomery KS,42.8,37.139982,-95.695334
Morris KS,46.7,38.698154,-96.588826
Morton KS,,37.047093,-101.838333
Nemaha KS,63.8,39.829915,-95.962628
Neosho KS,45.1,37.624963,-95.39482
Ness KS,,38.492429,-99.898826
Norton KS,51.3,39.820601,-99.878289
Osage KS,45.5,38.698945,-95.711621
Osborne KS,,39.424792,-98.707572
Ottawa KS,49.4,39.096434,-97.681833
Pawnee KS,47.8,38.178541,-99.147286
Phillips KS,54.2,39.757048,-99.349355
Pottawatomie KS,50.9,39.258473,-96.316121
Pratt KS,49.4,37.645065,-98.731177
Rawlins KS,,39.807807,-101.053756
Reno KS,44.5,38.050915,-97.933041
Republic KS,49.6,39.818188,-97.659183
Rice KS,45.6,38.321963,-98.201028
Riley KS,43.8,39.189473,-96.633015
Rooks KS,49.8,39.314266,-99.316791
Rush KS,,38.525797,-99.283593
Russell KS,51.5,38.904508,-98.824959
Saline KS,42.6,38.815777,-97.606733
Scott KS,52.7,38.482303,-100.913605
Sedgwick KS,40.1,37.678808,-97.344603
Seward KS,45.9,37.052196,-100.9161
Shawnee KS,40.3,39.035591,-95.705467
Sheridan KS,,39.36791,-100.467964
Sherman KS,49.2,39.349294,-101.726283
Smith KS,,39.770675,-98.809623
Stafford KS,,38.00686,-98.736685
Stanton KS,,37.566267,-101.756238
Stevens KS,52.4,37.190103,-101.322335
Sumner KS,45.3,37.304076,-97.406852
Thomas KS,56.8,39.38443,-101.04619
Trego KS,,39.004452,-99.881979
Wabaunsee KS,48.2,38.984769,-96.177572
Wallace KS,,38.888589,-101.765288
Washington KS,56.0,39.782029,-97.054087
Washington KS,41.5,39.782029,-97.054087
Washington KS,56.0,39.782029,-97.054087
Washington KS,41.5,39.782029,-97.054087
Wichita KS,,38.494297,-101.349386
Wilson KS,45.3,37.512574,-95.741217
Woodson KS,,37.8733,-95.739522
Wyandotte MO,36.0,,
Adair KY,41.5,37.107756,-85.279096
Allen KY,39.4,36.747908,-86.208056
Anderson KY,41.5,38.028088,-84.923071
Ballard KY,,37.04421,-88.97886
Barren KY,43.2,36.996774,-85.931813
Bath KY,39.0,38.139441,-83.73656
Bell TN,38.3,,
Boone OH,41.9,,
Bourbon KY,38.7,38.202978,-84.246611
Boyd KY,39.2,38.431905,-82.666548
Boyle KY,39.2,37.635777,-84.799493
Bracken KY,38.3,38.702562,-84.070088
Breathitt KY,36.5,37.520092,-83.37768
Breckinridge KY,44.9,37.770382,-86.410471
Bullitt KY,42.3,38.022943,-85.655385
Butler KY,43.3,37.218921,-86.680574
Caldwell KY,42.9,37.127446,-87.87922
Calloway KY,41.9,36.620185,-88.305814
Campbell OH,39.1,,
Carlisle KY,,36.854337,-88.94788
Carter KY,41.4,38.313503,-83.03816
Casey KY,40.1,37.303319,-84.924168
Christian KY,37.9,36.810955,-87.478173
Clay KY,37.1,37.169598,-83.746759
Clay KY,37.1,37.169598,-83.746759
Clinton KY,41.0,36.713992,-85.135223
Crittenden KY,47.6,37.332496,-88.095078
Cumberland KY,,36.778888,-85.389079
Daviess KY,42.4,37.747732,-87.094971
Edmonson KY,42.4,37.196775,-86.255277
Elliott KY,,38.122128,-83.106515
Estill KY,38.9,37.706277,-83.988899
Fayette KY,35.6,38.020523,-84.496639
Fleming KY,41.4,38.388567,-83.708286
Franklin KY,37.6,38.196045,-84.867592
Fulton TN,34.5,,
Gallatin OH,,,
Garrard KY,38.7,37.649333,-84.575557
Grant OH,41.5,,
Graves TN,42.3,,
Grayson KY,43.3,37.46909,-86.306723
Green KY,47.6,37.265597,-85.538944
Greenup KY,40.8,38.555431,-82.812206
Hancock KY,46.0,37.868017,-86.804762
Hardin KY,41.4,37.746047,-85.917039
Harlan KY,43.0,36.865625,-83.232825
Hart KY,39.6,37.278157,-85.885789
Henderson KY,39.6,37.818482,-87.564405
Henry KY,41.9,38.431904,-85.179495
Hickman KY,38.6,36.666725,-88.959953
Hickman TN,38.6,35.852522,-87.403679
Hopkins KY,43.8,37.305866,-87.523154
Jackson KY,41.0,37.402802,-83.99368
Jefferson KY,36.0,38.201775,-85.691832
Jessamine KY,35.5,37.884455,-84.587046
Johnson KY,44.3,37.829598,-82.813992
Kenton OH,36.9,,
Knott KY,39.9,37.32759,-82.940555
Knox KY,38.2,36.901584,-83.915231
Larue KY,43.3,37.544796,-85.723408
Laurel KY,40.1,37.091397,-84.087834
Lawrence KY,41.8,38.078995,-82.681643
Lawrence KY,39.6,38.078995,-82.681643
Lawrence KY,41.8,38.078995,-82.681643
Lawrence KY,39.6,38.078995,-82.681643
Lee KY,,37.591773,-83.701692
Leslie KY,43.2,37.115255,-83.37635
Letcher KY,44.8,37.14583,-82.807173
Lewis KY,41.0,38.562531,-83.347091
Lincoln KY,39.9,37.473121,-84.669872
Livingston KY,41.5,37.135813,-88.350899
Logan KY,43.0,36.85949,-86.865922
Lyon KY,,37.060704,-88.079778
McCracken KY,38.4,37.048079,-88.648273
McCreary KY,38.5,36.715761,-84.446083
Mclean KY,45.7,,
Madison KY,38.1,37.70616,-84.287451
Magoffin KY,40.8,37.729816,-83.056234
Marion KY,45.9,37.569587,-85.287195
Marshall KY,46.0,36.898302,-88.339329
Martin KY,44.6,37.830545,-82.51692
Mason KY,38.8,38.616398,-83.788535
Meade KY,42.7,37.934298,-86.132811
Menifee KY,,37.939449,-83.598399
Mercer KY,40.3,37.785009,-84.849691
Metcalfe KY,41.5,36.990816,-85.641586
Monroe KY,44.3,36.708328,-85.729921
Montgomery KY,37.4,38.035773,-83.917436
Morgan KY,41.1,37.91274,-83.266566
Muhlenberg KY,44.0,37.23809,-87.14704
Nelson KY,43.0,37.818018,-85.460371
Nicholas KY,39.0,38.327655,-84.023779
Ohio KY,43.8,37.465058,-86.864293
Oldham KY,44.1,38.372848,-85.459538
Owen KY,41.2,38.531935,-84.831925
Owsley KY,,37.452097,-83.684099
Pendleton OH,39.6,,
Perry KY,41.4,37.257625,-83.20106
Pike KY,43.3,37.463505,-82.420659
Powell KY,39.6,37.852293,-83.88113
Pulaski KY,38.7,37.092819,-84.614645
Robertson KY,,38.520826,-84.048848
Rockcastle KY,38.4,37.381612,-84.348396
Rowan KY,40.0,38.194616,-83.442318
Russell KY,40.7,37.029336,-85.05932
Scott KY,37.9,38.231691,-84.570575
Scott KY,39.5,38.231691,-84.570575
Scott KY,37.9,38.231691,-84.570575
Scott KY,39.5,38.231691,-84.570575
Shelby KY,40.2,38.213513,-85.230241
Simpson KY,40.8,36.733285,-86.572109
Spencer KY,42.8,38.059721,-85.350915
Taylor KY,41.6,37.350402,-85.343425
Todd TN,42.2,,
Trigg KY,38.8,36.847047,-87.836202
Trimble IN,42.6,,
Union KY,46.0,37.653315,-87.926958
Warren KY,39.3,36.970396,-86.434563
Wayne KY,38.9,36.837888,-84.844614
Wayne KY,41.2,36.837888,-84.844614
Wayne KY,38.9,36.837888,-84.844614
Wayne KY,41.2,36.837888,-84.844614
Webster KY,45.4,37.499711,-87.687044
Whitley KY,39.8,36.809692,-84.140995
Wolfe KY,39.1,37.740622,-83.510902
Woodford KY,38.0,38.050068,-84.727271
Acadia LA,43.9,30.278555,-92.351799
Allen LA,44.6,30.669387,-92.774458
Ascension LA,42.1,30.248525,-90.934028
Assumption LA,42.8,29.922957,-91.06645
Avoyelles LA,42.0,31.053586,-92.062566
Beauregard LA,44.9,30.733885,-93.287136
Bienville LA,38.5,32.388898,-93.080261
Bossier LA,40.4,32.555697,-93.656675
Caddo LA,36.3,32.472074,-93.800831
Calcasieu LA,41.3,30.227531,-93.261485
Caldwell LA,42.1,32.078215,-92.103757
Cameron LA,46.2,29.956693,-93.212142
Catahoula LA,46.9,31.696936,-91.824471
Claiborne LA,40.2,32.833682,-93.03306
Concordia MS,39.8,,
De Soto LA,39.6,32.10498,-93.776734
East Baton Rouge LA,38.1,30.462492,-91.100943
East Carroll LA,35.4,32.770972,-91.19516
East Feliciana LA,38.1,30.826843,-91.089224
Evangeline LA,45.5,30.685722,-92.362231
Franklin LA,41.9,32.143813,-91.696268
Grant LA,42.4,31.534149,-92.542816
Iberia LA,41.4,29.994199,-91.810231
Iberville LA,38.7,30.272099,-91.234302
Jackson LA,41.8,32.280659,-92.646015
Jefferson LA,40.2,29.945261,-90.153175
Jefferson Davis LA,44.1,30.240194,-92.738028
Lafayette LA,42.1,30.205215,-92.043759
Lafourche LA,44.5,29.679993,-90.615099
La Salle LA,50.9,31.730558,-92.172553
Lincoln LA,39.2,32.549258,-92.64793
Livingston LA,42.8,30.483388,-90.840765
Madison MS,34.8,32.510711,-90.098347
Madison MS,36.1,32.510711,-90.098347
Madison MS,34.8,32.510711,-90.098347
Madison MS,36.1,32.510711,-90.098347
Morehouse LA,36.0,32.786393,-91.886161
Natchitoches LA,40.0,31.759482,-93.097361
Orleans LA,34.8,29.972699,-90.05284
Ouachita LA,36.7,32.514346,-92.129634
Plaquemines LA,43.7,29.72176,-89.90076
Pointe Coupee LA,40.6,30.67107,-91.50006
Rapides LA,39.1,31.28458,-92.457473
Red River LA,40.9,32.054629,-93.307602
Richland LA,39.1,32.441085,-91.714756
Sabine LA,46.6,31.581882,-93.566643
St Bernard LA,42.8,,
St Charles LA,41.3,,
St Helena LA,37.7,,
St James LA,39.9,,
St John The Baptist LA,38.4,,
St Landry LA,43.3,,
St Martin LA,41.6,,
St Mary LA,41.5,,
St Tammany LA,41.2,,
Tangipahoa LA,39.2,30.571611,-90.455513
Tensas MS,40.2,,
Terrebonne LA,45.3,29.592812,-90.722239
Union LA,41.5,32.794504,-92.404307
Vermilion LA,48.0,29.993689,-92.165923
Vernon LA,43.0,31.094949,-93.245823
Washington LA,37.7,30.835918,-89.996174
Webster LA,40.3,32.7001,-93.340925
West Baton Rouge LA,38.9,30.443957,-91.264463
West Carroll LA,44.2,32.816551,-91.431802
West Feliciana LA,41.8,30.893607,-91.404737
Winn LA,41.5,31.929892,-92.676588
Androscoggin ME,42.9,44.119069,-70.201312
Aroostook ME,43.6,46.705048,-68.086628
Cumberland ME,42.9,43.748088,-70.305589
Franklin ME,46.1,44.70749,-70.225634
Hancock ME,42.2,44.471475,-68.467743
Kennebec ME,42.9,44.396102,-69.749178
Knox ME,40.8,44.129786,-69.162849
Lincoln ME,42.1,44.032332,-69.555057
Oxford ME,42.1,44.28237,-70.61336
Penobscot ME,42.3,44.953036,-68.79423
Piscataquis ME,43.9,45.242097,-69.263375
Sagadahoc ME,41.5,43.956202,-69.869704
Somerset ME,42.2,44.821921,-69.685757
Waldo ME,39.4,44.491137,-69.086553
Washington ME,38.9,44.863591,-67.464919
York ME,44.7,43.424108,-70.640561
Allegany MD,43.2,39.629197,-78.822261
Anne Arundel MD,40.8,39.067301,-76.598917
Baltimore MD,42.2,39.369252,-76.620366
Baltimore MD,42.2,39.314892,-76.619614
Baltimore MD,42.2,39.369252,-76.620366
Baltimore MD,42.2,39.314892,-76.619614
Calvert DC,43.5,,
Caroline MD,39.4,38.874331,-75.831491
Carroll MD,47.5,39.527218,-76.9931
Cecil MD,41.2,39.613824,-75.936585
Charles DC,42.9,,
Dorchester MD,37.3,38.570623,-76.009758
Frederick DC,45.6,,
Garrett MD,45.7,39.512187,-79.303138
Harford MD,43.5,39.521376,-76.310879
Howard MD,46.9,39.219271,-76.856729
Kent MD,40.0,39.24506,-76.058525
Montgomery DC,47.7,,
Prince Georges DC,40.2,,
Queen Annes MD,44.3,,
St Marys DC,44.3,,
Somerset DE,38.4,,
Talbot MD,39.8,38.769665,-76.098126
Washington PA,43.1,40.204057,-80.144361
Washington PA,43.1,40.204057,-80.144361
Washington PA,47.3,40.204057,-80.144361
Washington MD,47.3,39.617574,-77.731386
Wicomico MD,38.6,38.371571,-75.595082
Worcester MD,39.2,38.301936,-75.238169
Baltimore City MD,33.8,,
Barnstable MA,45.0,41.690216,-70.333968
Berkshire MA,42.5,42.460781,-73.216577
Bristol RI,44.5,41.712119,-71.283919
Bristol RI,45.0,41.712119,-71.283919
Bristol RI,44.5,41.712119,-71.283919
Bristol RI,45.0,41.712119,-71.283919
Dukes MA,43.4,41.421286,-70.602745
Essex MA,44.0,42.62479,-70.987816
