county state,relative mobility,absolute mobility,sample size,lat,long
Cleveland AR,0.377,40.2,336,33.914989,-92.139146
Columbia AR,0.394,39.6,1109,33.258045,-93.247459
Conway AR,0.429,42.9,727,35.214487,-92.70416
Craighead AR,0.343,41.2,2722,35.835235,-90.669325
Crawford AR,0.336,41,2158,35.496882,-94.28436
Crittenden AR,0.46,33.5,2274,35.17736,-90.217261
Cross AR,0.381,39,873,35.252833,-90.775307
Dallas AR,0.428,37.1,404,33.869213,-92.527123
Desha AR,0.411,36.4,827,33.773838,-91.417485
Drew AR,0.459,38.1,709,33.6274,-91.781779
Faulkner AR,0.341,43.3,3016,35.104918,-92.405359
Franklin AR,0.264,45.4,654,35.446102,-93.885464
Fulton MO,0.324,44.8,380,,
Garland AR,0.366,40.2,2785,34.505811,-93.081852
Grant AR,0.403,43.4,595,34.309174,-92.412714
Greene AR,0.344,40.7,1338,36.07312,-90.523016
Hempstead AR,0.33,37.8,872,33.699647,-93.623587
Hot Spring AR,0.375,39.7,1164,34.353464,-92.894595
Howard AR,0.368,39,696,33.983198,-93.910184
Independence AR,0.32,44.3,1384,35.749801,-91.607539
Izard AR,0.312,44.1,400,36.120217,-91.908429
Jackson AR,0.379,38.6,621,35.621102,-91.246233
Jefferson AR,0.424,35.7,3717,34.233473,-92.041179
Johnson AR,0.342,43.5,821,35.475272,-93.475517
Lafayette AR,0.485,36.1,342,33.287629,-93.557538
Lawrence AR,0.357,43.2,815,36.070224,-91.065733
Lee AR,0.35,37.4,489,34.785214,-90.774516
Lincoln AR,0.335,38.4,524,33.975379,-91.746234
Little River TX,0.255,41.4,611,,
Logan AR,0.395,43.1,927,35.227532,-93.768119
Lonoke AR,0.354,39.9,2298,34.905178,-91.970577
Madison AR,0.325,43.4,547,36.061309,-93.755297
Marion AR,0.23,44.1,501,36.28457,-92.663368
Miller TX,0.401,38.1,1638,,
Mississippi AR,0.407,36.9,2425,35.84288,-89.999037
Monroe AR,0.435,39.8,512,34.777729,-91.218021
Nevada AR,0.391,39.8,413,33.722168,-93.358085
Newton AR,0.38,42.9,317,35.98494,-93.1705
Ouachita AR,0.416,37.5,1315,33.574461,-92.838871
Perry AR,0.339,44,440,34.999054,-92.779271
Phillips AR,0.47,35,1367,34.529768,-90.707796
Pike AR,0.323,45.3,404,34.187298,-93.624765
Poinsett AR,0.439,38,1064,35.60191,-90.557998
Polk OK,0.307,45.3,842,,
Pope AR,0.335,41.4,2170,35.309776,-93.097238
Prairie AR,0.301,40.5,335,34.859177,-91.536241
Pulaski AR,0.407,35.8,14756,34.773719,-92.311659
Randolph AR,0.358,43,631,36.304758,-90.98842
St Francis AR,0.435,35.1,1387,,
Saline AR,0.356,40.6,2226,34.593233,-92.546163
Scott AR,0.415,42.7,444,34.907145,-94.095905
Searcy AR,0.257,46.9,314,35.922829,-92.659155
Sebastian AR,0.365,40.2,4160,35.318195,-94.354435
Sevier OK,0.363,44.3,592,,
Sharp AR,0.331,43.7,637,36.178493,-91.520168
Stone AR,0.368,40,362,35.856705,-92.137
Union AR,0.455,37.4,2018,33.20687,-92.64508
Van Buren AR,0.256,45.4,504,35.567839,-92.421475
Washington AR,0.325,42.8,5336,36.094275,-94.172222
White AR,0.344,42.8,2679,35.243736,-91.767388
Woodruff AR,0.477,37.6,394,35.233191,-91.252079
Yell AR,0.201,42.1,778,35.120982,-93.28946
Alameda CA,0.271,42.5,39540,37.705201,-122.100393
Amador CA,0.191,44.2,1128,38.394208,-120.775729
Butte CA,0.283,41.3,6612,39.669037,-121.707635
Calaveras CA,0.231,42.8,1435,38.163627,-120.633718
Colusa CA,0.214,47.8,830,39.156148,-122.085557
Contra Costa CA,0.27,43.6,30339,37.935588,-122.030131
Del Norte CA,0.288,38.6,1021,41.791232,-124.163088
El Dorado CA,0.22,45.6,6259,38.746543,-120.74433
Fresno CA,0.308,40.8,28520,36.738918,-119.767884
Glenn CA,0.254,43.6,1043,39.663418,-122.177491
Humboldt CA,0.306,38.9,4534,40.752982,-124.087189
Imperial CA,0.22,44,6048,32.841101,-115.534487
Inyo CA,0.315,43.7,737,37.160247,-118.267513
Kern CA,0.256,45.3,25037,35.372968,-118.936004
Kings CA,0.269,42.2,4366,36.242749,-119.729084
Lake CA,0.265,40.4,1892,38.973362,-122.734609
Lassen CA,0.268,44.3,1176,40.392397,-120.579176
Los Angeles CA,0.225,43.3,261921,34.065193,-118.244222
Madera CA,0.264,41.7,4370,37.043099,-120.00675
Marin CA,0.197,46.7,6004,37.986705,-122.547075
Mariposa CA,0.254,45.1,566,37.542748,-119.957219
Mendocino CA,0.261,40,3240,39.285329,-123.397227
Merced CA,0.26,42,7885,37.281016,-120.623989
Modoc CA,0.283,46.7,366,41.522584,-120.650911
Mono CA,0.234,48.1,311,37.763322,-118.970594
Monterey CA,0.217,43.6,11876,36.611722,-121.646162
Napa CA,0.191,47.3,3573,38.329075,-122.321646
Nevada CA,0.232,44.2,3364,39.219524,-120.916546
Orange CA,0.203,46.4,71640,33.733953,-117.86288
Placer CA,0.221,45.4,9258,38.844511,-121.182466
Plumas CA,0.257,44,769,39.983857,-120.825847
Riverside CA,0.235,41.8,51067,33.800439,-117.066205
Sacramento CA,0.268,41.6,38328,38.56895,-121.380861
San Benito CA,0.21,43.8,1895,36.843404,-121.403859
San Bernardino CA,0.254,42,62634,34.190248,-117.357474
San Diego CA,0.237,44.3,82229,32.88326,-117.112994
San Francisco CA,0.184,47.8,13269,37.759598,-122.438323
San Joaquin CA,0.253,42.6,19509,37.931804,-121.298108
San Luis Obispo CA,0.203,45.1,7712,35.342391,-120.667689
San Mateo CA,0.236,47,19266,37.56395,-122.340991
Santa Barbara CA,0.223,44.4,11308,34.639262,-120.092602
Santa Clara CA,0.233,45.6,47549,37.315105,-121.910421
Santa Cruz CA,0.214,43.4,7957,36.985171,-121.936728
Shasta CA,0.31,41.9,6570,40.580269,-122.299961
Siskiyou CA,0.247,44.5,1853,41.576203,-122.489833
Solano CA,0.258,42.8,15005,38.235582,-122.069324
Sonoma CA,0.229,43.6,14776,38.41408,-122.720522
Stanislaus CA,0.262,42.2,16739,37.619147,-120.955577
Sutter CA,0.269,44.6,2986,39.13549,-121.644269
Tehama CA,0.322,41.4,1881,40.115187,-122.218704
Trinity CA,0.283,42.5,532,40.681268,-123.072357
Tulare CA,0.285,42.1,14409,36.251227,-119.231547
Tuolumne CA,0.241,44.8,1850,37.971531,-120.32853
Ventura CA,0.239,44.5,25317,34.241989,-119.025018
Yolo CA,0.253,44.3,5114,38.598913,-121.721112
Yuba CA,0.258,42.4,2157,39.13883,-121.506626
Adams CO,0.29,41.7,12519,39.874297,-104.927473
Alamosa CO,0.311,44.1,636,37.483069,-105.877245
Arapahoe CO,0.28,44,17040,39.647528,-104.845968
Archuleta NM,0.187,43.7,416,,
Boulder CO,0.198,46.8,9728,40.063299,-105.183981
Chaffee CO,0.204,48.1,554,38.676497,-106.082645
Conejos CO,0.238,48,424,37.195652,-105.989049
Delta CO,0.209,50.3,1064,38.798565,-107.910553
Denver CO,0.312,37.6,14544,39.72143,-104.955068
Douglas CO,0.221,47.9,5478,39.48527,-104.879712
Eagle CO,0.243,45.9,956,39.599453,-106.717771
Elbert CO,0.193,46.7,788,39.382868,-104.51913
El Paso CO,0.288,41.2,19306,38.873669,-104.758477
Fremont CO,0.246,45.6,1449,38.426058,-105.206532
Garfield CO,0.163,49.3,1655,39.507561,-107.539356
Grand CO,0.306,42.7,423,40.050388,-105.9754
Gunnison CO,0.146,48.3,354,38.657886,-106.944723
Huerfano CO,0.298,43.2,260,37.616312,-104.884201
Jefferson CO,0.252,45.4,19314,39.720524,-105.128819
Kit Carson CO,0.214,55.5,330,39.309763,-102.435733
Lake CO,0.285,43,250,39.24587,-106.308061
La Plata NM,0.185,47.8,1688,,
Larimer CO,0.246,45.4,8610,40.504546,-105.099218
Las Animas CO,0.285,45.5,587,37.196601,-104.503149
Logan CO,0.282,50.1,814,40.639399,-103.187715
Mesa CO,0.261,46.6,4515,39.092851,-108.543768
Moffat CO,0.271,48.6,671,40.515239,-107.625859
Montezuma CO,0.199,46.4,999,37.370817,-108.557116
Montrose CO,0.272,45.1,1366,38.479142,-107.934568
Morgan CO,0.336,47.8,1124,40.256023,-103.781517
Otero CO,0.308,43.2,939,38.024096,-103.657432
Park CO,0.183,48.6,494,39.311718,-105.623144
Pitkin CO,0.18,42,286,39.232543,-106.907765
Prowers CO,0.256,48.3,636,38.083772,-102.547035
Pueblo CO,0.368,39.2,5172,38.263685,-104.645147
Rio Blanco CO,0.213,56.7,372,40.051033,-108.280174
Rio Grande CO,0.313,44.8,575,37.616658,-106.238805
Routt CO,0.11,50.9,677,40.453133,-106.899535
Saguache CO,0.236,45.3,260,37.915302,-106.019489
San Juan NM,0.319,40.3,6156,36.72194,-108.220647
Summit CO,0.143,48.4,515,39.573131,-106.054579
Teller CO,0.204,45.6,959,38.94355,-105.140532
Weld CO,0.311,44.3,6267,40.328082,-104.788507
Yuma CO,0.292,54.3,454,40.069473,-102.486935
Fairfield CT,0.355,42.9,25344,41.207889,-73.364521
Hartford CT,0.384,41.6,26886,41.761943,-72.717282
Litchfield CT,0.322,44.3,6347,41.727851,-73.187494
Middlesex CT,0.325,44.7,4543,41.478564,-72.571408
New Haven CT,0.363,41.9,25357,41.396052,-72.941497
New London CT,0.324,42.8,8355,41.443373,-72.097683
Tolland CT,0.31,46.1,4323,41.842762,-72.37209
Windham CT,0.312,42.9,4044,41.804225,-71.995072
Kent DE,0.37,39.7,4738,39.12322,-75.558604
New Castle DE,0.399,37.1,17251,39.68502,-75.634376
Sussex DE,0.399,37.9,5337,38.662387,-75.346649
