county state,relative mobility,absolute mobility,sample size,lat,long
Kauai HI,0.259,43.6,2279,22.021022,-159.442112
Maui HI,0.233,42.2,4248,20.863747,-156.493816
Ada ID,0.257,42.6,11628,43.611186,-116.304409
Bannock ID,0.26,43.1,3622,42.869212,-112.423672
Bear Lake ID,0.129,53.8,392,42.306336,-111.341632
Benewah WA,0.202,45.6,457,,
Bingham ID,0.25,46.3,2594,43.217372,-112.355721
Blaine ID,0.216,43.1,626,43.541366,-114.294277
Bonner WA,0.202,45.7,1563,,
Bonneville ID,0.246,45.5,4480,43.494876,-111.997623
Boundary ID,0.209,46.2,458,48.705964,-116.302851
Canyon ID,0.275,41.6,5098,43.611438,-116.627276
Caribou ID,0.162,53.4,472,42.643778,-111.656063
Cassia ID,0.27,48.2,1188,42.482791,-113.741833
Clearwater ID,0.276,46.7,399,46.48524,-116.185221
Elmore ID,0.293,44.1,1008,43.11532,-115.684407
Franklin UT,0.104,54.8,683,,
Fremont ID,0.218,49.6,664,44.014844,-111.615464
Gem ID,0.235,45.5,717,43.884323,-116.506739
Gooding ID,0.228,46.3,658,42.852717,-114.751067
Idaho ID,0.222,48.5,660,45.974127,-116.106566
Jefferson ID,0.207,49.1,1276,43.691123,-111.969394
Jerome ID,0.276,45.2,855,42.698447,-114.462669
Kootenai WA,0.226,44.8,4293,,
Latah WA,0.237,46.3,1144,,
Lemhi ID,0.195,46.2,348,45.127412,-113.86153
Lewis ID,0.34,46.9,275,46.238066,-116.25739
Madison ID,0.198,51.6,1244,43.819114,-111.794073
Minidoka ID,0.273,49.2,1195,42.613266,-113.712227
Nez Perce ID,0.273,43.6,1450,46.394126,-116.950462
Owyhee ID,0.225,46,421,43.376748,-116.681558
Payette OR,0.248,43.9,888,,
Power ID,0.227,46.9,368,42.775001,-112.829004
Shoshone WA,0.353,43.4,583,,
Teton WY,0.176,50.1,272,43.494174,-110.784353
Teton WY,0.145,50.4,482,43.494174,-110.784353
Twin Falls ID,0.241,45.5,2905,42.558563,-114.504002
Valley ID,0.257,43.3,433,44.758677,-116.073719
Washington OR,0.323,45.7,478,45.48421,-122.870641
Washington OR,0.255,43.1,15370,45.48421,-122.870641
Adams IL,0.367,45.4,2757,39.943826,-91.328948
Alexander IL,0.519,35.7,376,37.149251,-89.289666
Bond IL,0.378,43.3,661,38.884622,-89.432819
Boone IL,0.274,42.9,1639,42.293981,-88.851989
Bureau IL,0.318,47.2,1578,41.382964,-89.42378
Carroll IL,0.331,46.8,709,42.071879,-89.963255
Cass IL,0.417,44.4,596,39.979866,-90.319209
Champaign IL,0.387,40.5,5423,40.128073,-88.233083
Christian IL,0.356,45.1,1344,39.525298,-89.254627
Clark IL,0.321,47.5,720,39.351007,-87.800246
Clay IL,0.365,44.5,610,38.716132,-88.490134
Clinton IL,0.316,52.3,1353,38.587753,-89.472099
Coles IL,0.365,40.9,1702,39.487297,-88.258277
Cook IL,0.398,38,171657,41.865937,-87.757714
Crawford IL,0.362,43.7,815,39.00569,-87.748024
Cumberland IL,0.424,44,421,39.275965,-88.280887
De Kalb IL,0.3,45.3,3129,,
Dewitt IL,0.27,46.3,705,,
Douglas IL,0.276,48.8,1024,39.766826,-88.279794
Du Page IL,0.266,49,32970,,
Edgar IL,0.39,45.7,800,39.635942,-87.71537
Edwards IL,0.363,49,253,38.402493,-88.04063
Effingham IL,0.309,50.3,1767,39.094723,-88.576033
Fayette IL,0.358,45.6,823,38.997829,-89.033295
Ford IL,0.331,47.8,559,40.527422,-88.217453
Franklin IL,0.358,45.3,1502,37.962135,-88.953316
Fulton IL,0.323,44.1,1534,40.521963,-90.119357
Gallatin IL,0.218,50.5,270,37.770001,-88.238563
Greene IL,0.34,48.2,656,39.37224,-90.373465
Grundy IL,0.312,46.8,1850,41.345274,-88.347437
Hamilton IL,0.388,49.4,364,38.092156,-88.557747
Hancock IA,0.273,51.4,950,43.092013,-93.705072
Hancock IA,0.235,55.1,555,43.092013,-93.705072
Henderson IA,0.293,50.4,337,,
Henry IL,0.338,46.9,2306,41.348782,-90.134757
Iroquois IL,0.33,47.4,1414,40.763597,-87.834391
Jackson IL,0.355,40.5,1830,37.747793,-89.274031
Jasper IL,0.277,53,478,39.003765,-88.159885
Jefferson IL,0.357,43,1481,38.308488,-88.910808
Jersey IL,0.292,46.4,1142,39.072862,-90.32042
Jo Daviess IA,0.245,50.3,956,,
Johnson IL,0.334,44.4,415,37.474558,-88.882358
Kane IL,0.355,41.4,14834,41.918111,-88.331264
Kankakee IL,0.398,40.9,4203,41.148582,-87.850867
Kendall IL,0.226,49.2,2381,41.663724,-88.379066
Knox IL,0.378,41.7,2087,40.937032,-90.328601
Lake IL,0.344,42.7,24171,42.313072,-87.969458
La Salle IL,0.344,45.2,4542,,
Lawrence IN,0.421,44.8,607,38.846386,-86.495718
Lawrence IN,0.379,39.7,1820,38.846386,-86.495718
Lee IL,0.345,45.2,1463,41.810242,-89.398207
Livingston IL,0.351,46.9,1563,40.907044,-88.573187
Logan IL,0.328,45.1,1259,40.140775,-89.361505
McDonough IL,0.277,48.2,1000,40.469472,-90.669344
McHenry IL,0.271,46.7,10339,42.271472,-88.34988
Mclean IL,0.362,42.7,5094,,
Macon IL,0.431,39.5,4635,39.851176,-88.947076
Macoupin IL,0.377,44.3,1877,39.19403,-89.877035
Madison IL,0.37,41.4,10243,38.801396,-90.018097
Marion IL,0.386,40.8,2073,38.59071,-89.016967
Marion IL,0.353,44.5,1326,38.59071,-89.016967
Marshall IL,0.323,47.4,594,41.043034,-89.315638
Mason IL,0.388,43.1,742,40.286475,-89.898924
Massac KY,0.354,41.4,595,,
Menard IL,0.257,46.8,573,39.99726,-89.799507
Mercer IL,0.254,50.8,827,41.214043,-90.687167
Monroe MO,0.265,51.1,1180,39.520553,-91.973958
Monroe MO,0.241,47.5,414,39.520553,-91.973958
Montgomery IL,0.414,44.2,1311,39.198961,-89.505319
Morgan IL,0.41,41.4,1455,39.718155,-90.231161
Moultrie IL,0.347,45.8,572,39.631979,-88.614419
Ogle IL,0.28,45.8,2201,42.028653,-89.256098
Peoria IL,0.432,37.9,7026,40.742915,-89.638993
Perry IL,0.382,45.2,832,38.058514,-89.323862
Piatt IL,0.337,46.6,698,40.007008,-88.581585
Pike IL,0.372,47.4,729,39.621311,-90.859127
Pike IL,0.436,43.8,662,39.621311,-90.859127
Pulaski IL,0.34,38.6,345,37.199543,-89.13475
Putnam IL,0.363,42.6,260,41.229306,-89.270945
Randolph IL,0.37,47.7,1445,38.055541,-89.809249
Richland IL,0.346,46.2,703,38.725943,-88.088315
Rock Island IL,0.381,42,6019,41.489142,-90.504005
St Clair MO,0.445,37.6,10849,,
St Clair MO,0.354,44.3,304,,
Saline IL,0.435,42.8,1018,37.754786,-88.536395
Sangamon IL,0.409,39.4,7485,39.772757,-89.652867
Schuyler IL,0.287,47.9,286,40.13118,-90.568639
Scott IL,0.367,42.6,6581,39.645737,-90.462754
Shelby IL,0.423,45.9,929,39.396539,-88.802073
Stark IL,0.279,50.1,423,41.098377,-89.792451
Stephenson IL,0.352,42.5,2156,42.324139,-89.644541
Tazewell IL,0.345,43.9,5479,40.602899,-89.534104
Union IL,0.392,42.8,653,37.46858,-89.236505
Vermilion IN,0.399,40.8,3380,,
Wabash IN,0.356,44.8,568,40.858522,-85.802372
Wabash IN,0.371,41.2,1556,40.858522,-85.802372
Warren IL,0.368,45,747,40.890638,-90.636371
Washington IL,0.316,50.6,663,38.359407,-89.39393
Wayne IL,0.289,48.7,640,38.406869,-88.422496
White IL,0.358,46.7,645,38.089959,-88.192241
Whiteside IL,0.355,43.9,2701,41.780798,-89.823253
Will IL,0.353,42.4,17857,41.565138,-88.057232
Williamson IL,0.372,41.1,2078,37.755675,-88.974979
Winnebago IL,0.38,38,10660,42.307128,-89.06224
Woodford IL,0.342,48.3,1365,40.771239,-89.29031
Adams IN,0.383,45.3,1383,40.753767,-84.934317
Allen IN,0.404,38.6,13117,41.098642,-85.122329
Bartholomew IN,0.398,39,2570,39.216785,-85.902794
Benton IN,0.269,50,489,40.575066,-87.291433
Blackford IN,0.363,39.7,560,40.469726,-85.34419
Boone IN,0.351,42.6,1795,40.013009,-86.398737
Brown IN,0.174,44.1,560,39.236241,-86.20969
Carroll IN,0.232,47.7,736,40.578983,-86.600098
Carroll IN,0.481,39,466,40.578983,-86.600098
Cass IN,0.373,42.1,1593,40.747104,-86.339592
Cass IN,0.365,40.6,1755,40.747104,-86.339592
Clark KY,0.358,39.4,3727,37.986825,-84.182232
Clark KY,0.396,35.5,1226,37.986825,-84.182232
Clay IN,0.353,43.6,1259,39.469066,-87.124217
Clinton IN,0.351,41.8,1470,40.298201,-86.512307
Crawford KY,0.334,42.6,474,,
Daviess IN,0.354,46.2,1172,38.696963,-87.098076
Dearborn IN,0.336,42.5,1984,39.14462,-84.920935
Decatur IN,0.4,42.8,1106,39.319975,-85.494211
De Kalb IN,0.354,41.2,1768,,
Delaware IN,0.409,36.7,3935,40.20517,-85.401962
Dubois IN,0.335,52.7,1613,38.357067,-86.914032
Elkhart IN,0.341,41,7281,41.637679,-85.906728
Fayette IN,0.401,35.2,1045,39.640791,-85.147496
Floyd KY,0.39,39.7,2863,37.552299,-82.738526
Floyd KY,0.304,42,1421,37.552299,-82.738526
Fountain IN,0.365,44.6,864,40.152089,-87.271946
Franklin IN,0.434,39.1,771,39.401885,-85.070265
Fulton IN,0.413,42.7,931,41.059389,-86.220078
Gibson IN,0.332,47.9,1404,38.30918,-87.546685
Grant IN,0.389,37.3,2836,40.525253,-85.644413
Greene IN,0.357,43.7,1290,39.052316,-86.992172
Hamilton IN,0.332,43.2,6248,40.002534,-86.059737
Hancock IN,0.342,42.5,2349,39.811662,-85.824125
Harrison KY,0.286,44.6,1600,38.415966,-84.314823
Harrison KY,0.358,39,774,38.415966,-84.314823
Hendricks IN,0.305,45.3,3792,39.772784,-86.415055
Henry IN,0.335,39.8,1892,39.928644,-85.403678
Howard IN,0.328,37.3,3434,40.470704,-86.132959
Huntington IN,0.374,41.6,1804,40.870224,-85.487085
Jackson IN,0.367,42.4,1678,38.925896,-85.942654
Jasper IN,0.251,48.7,1538,41.075783,-87.149436
Jay IN,0.314,43.9,927,40.428424,-85.033025
Jefferson IN,0.387,41.3,1209,38.758956,-85.433692
Jennings IN,0.389,40.4,1023,39.005169,-85.648821
Johnson IN,0.357,41.6,4515,39.553276,-86.113609
Knox IN,0.377,45.2,1603,38.698623,-87.45768
Kosciusko IN,0.305,43.7,3168,41.266796,-85.830484
Lagrange IN,0.208,49,1510,,
Lake IN,0.375,39.4,21023,41.526226,-87.408155
La Porte IN,0.349,39.8,4318,,
Madison IN,0.381,37.2,5002,40.11412,-85.708901
Marion IN,0.396,35,31491,39.791299,-86.135905
Marshall IN,0.355,43.3,1984,41.347248,-86.273082
Martin IN,0.361,44.3,548,38.678357,-86.848113
Miami IN,0.307,40.7,1471,40.730651,-86.073933
Monroe IN,0.362,38.3,3095,39.162879,-86.537697
Montgomery IN,0.324,43.8,1460,40.03511,-86.90006
Morgan IN,0.292,41.2,2569,39.512251,-86.399318
Newton IN,0.282,45.7,563,40.994087,-87.380385
Noble IN,0.343,42.8,1901,41.413892,-85.391205
Orange IN,0.406,41.4,749,38.562156,-86.496982
Owen IN,0.31,39.1,784,39.315596,-86.799822
Parke IN,0.333,44.1,634,39.758327,-87.227997
Perry IN,0.425,45.6,772,38.009327,-86.705205
Pike IN,0.349,48.7,497,38.424833,-87.233923
Porter IN,0.287,44.8,6150,41.513679,-87.105308
Posey IN,0.402,44.6,1085,38.013245,-87.823041
Pulaski IN,0.328,45.4,596,41.050592,-86.685266
Putnam IN,0.31,42.1,1205,39.646107,-86.835611
Randolph IN,0.374,42.5,1198,40.168573,-84.997064
Ripley IN,0.288,48.2,1387,39.159402,-85.218379
Rush IN,0.386,42.4,748,39.623616,-85.474569
St Joseph IN,0.4,38.4,10501,,
St Joseph IN,0.328,40.6,2560,,
Scott IN,0.378,36.3,945,38.698198,-85.762718
Shelby IN,0.324,41.7,1670,39.536039,-85.789825
Spencer IN,0.311,49.5,908,38.015495,-87.011149
Starke IN,0.378,41.2,1088,41.282896,-86.631962
Steuben IN,0.349,41.5,1271,41.649521,-85.010662
Sullivan IN,0.401,44.5,833,39.103093,-87.390988
Switzerland IN,0.267,42.5,323,38.819835,-85.023499
Tippecanoe IN,0.338,42.4,4325,40.41788,-86.886971
Tipton IN,0.342,44.1,664,40.308849,-86.050587
Union IN,0.264,44,304,39.618626,-84.919102
Vanderburgh IN,0.435,39.2,6413,37.996062,-87.551819
Vermillion IN,0.34,42.7,713,39.763164,-87.440231
Vigo IN,0.383,40.4,3736,39.460817,-87.387985
Warrick IN,0.345,44.6,2270,38.012884,-87.352574
Washington KY,0.395,41.4,1050,37.738655,-85.190875
Washington KY,0.355,44.4,407,37.738655,-85.190875
Wayne IN,0.379,37.4,2877,39.842737,-84.949811
Wells IN,0.324,45.6,1148,40.770771,-85.194412
White IN,0.268,45.7,1213,40.755698,-86.810306
Whitley IN,0.311,44.9,1473,41.163144,-85.47848
Adair IA,0.148,54.3,310,41.344629,-94.479157
Allamakee IA,0.186,55.3,658,43.25705,-91.417115
Appanoose IA,0.28,48.3,530,40.739836,-92.867034
Audubon IA,0.355,55.6,261,41.676829,-94.925302
Benton IA,0.271,50.4,1004,42.06222,-92.017478
Black Hawk IA,0.382,44.1,4837,42.490851,-92.370013
Boone IA,0.37,47,1008,42.026494,-93.895155
Bremer IA,0.246,55,1135,42.743058,-92.376967
Buchanan IA,0.324,52.8,1043,42.486957,-91.901041
Buena Vista IA,0.357,52.3,848,42.679153,-95.181444
Butler IA,0.261,56,693,42.707538,-92.758692
Calhoun IA,0.273,54.4,530,42.400162,-94.625331
Carroll IA,0.209,59.8,1069,42.038571,-94.867634
Cass IA,0.262,52.4,672,41.365898,-94.979466
Cedar IA,0.288,51.8,685,41.757883,-91.137388
Cerro Gordo IA,0.295,48.7,1802,43.135116,-93.246222
Cherokee IA,0.333,55.1,578,42.749288,-95.593937
Chickasaw IA,0.3,57,631,43.038059,-92.344319
Clarke IA,0.326,49.2,365,41.036835,-93.78126
Clay IA,0.367,49.7,772,43.127315,-95.159571
Clayton IA,0.255,55.3,886,42.860097,-91.322919
Clinton IA,0.325,46.9,2123,41.852707,-90.335737
Crawford IA,0.283,55,711,42.027366,-95.358454
Dallas IA,0.296,48.5,1593,41.645223,-93.923368
Davis IA,0.229,51.1,335,40.765097,-92.415821
Decatur IA,0.308,46.4,309,40.71001,-93.821366
Delaware IA,0.246,56.3,879,42.482434,-91.383342
Des Moines IA,0.387,41.6,1776,40.833525,-91.141489
Dickinson IA,0.231,51.3,672,43.389624,-95.133548
Dubuque IA,0.276,52.7,3900,42.493726,-90.759915
Emmet MN,0.268,54,475,,
Fayette IA,0.287,53.9,908,42.820385,-91.855375
Floyd IA,0.294,53.4,683,43.074625,-92.75233
Franklin IA,0.325,49.3,403,42.755202,-93.240318
Fremont IA,0.352,50.5,360,40.747942,-95.623322
Greene IA,0.39,48.5,459,42.029792,-94.375962
Grundy IA,0.315,54.8,460,42.380262,-92.748284
Guthrie IA,0.354,51,476,41.669446,-94.431251
Hamilton IA,0.293,49.4,604,42.407552,-93.766985
Hardin IA,0.308,53.3,920,42.436775,-93.215799
Harrison NE,0.261,50.5,720,,
Henry IA,0.233,51.9,872,40.981343,-91.537058
Howard IA,0.164,58.4,516,43.361616,-92.231027
Humboldt IA,0.249,55.2,514,42.74679,-94.215551
Ida IA,0.209,55.8,356,42.391343,-95.504381
Iowa IA,0.206,54.7,670,41.702615,-92.039923
Jackson IA,0.319,51.1,895,42.139283,-90.566782
Jasper IA,0.232,48.9,1416,41.678374,-93.070038
Jefferson IA,0.158,49.3,669,41.013171,-91.964603
Johnson IA,0.296,45.9,2914,41.679755,-91.55831
Jones IA,0.311,51.6,722,42.136467,-91.198513
Keokuk IA,0.239,54.4,520,41.325439,-92.17499
Kossuth IA,0.209,58.5,801,43.147016,-94.22057
Lee IA,0.349,44.7,1599,40.55857,-91.396226
Linn IA,0.318,45.4,7042,42.009607,-91.647251
Louisa IA,0.311,48.3,508,41.22579,-91.259929
Lucas IA,0.231,51.8,384,41.021148,-93.313045
Lyon IA,0.189,60,594,43.385265,-96.218544
Madison IA,0.285,48.9,623,41.347064,-93.989405
Mahaska IA,0.248,50.3,874,41.31208,-92.641016
Marion IA,0.3,50.5,1332,41.35483,-93.04269
Marshall IA,0.368,45.8,1601,42.031353,-92.938421
Mills NE,0.216,48.8,636,,
Mitchell IA,0.23,56.7,408,43.336257,-92.803247
Monona IA,0.316,49.2,420,42.063026,-95.985135
Monroe IA,0.174,51.9,289,41.035615,-92.827682
Montgomery IA,0.336,48.9,460,41.008619,-95.167995
Muscatine IA,0.299,45.7,1901,41.464065,-91.078997
Obrien IA,0.338,54.9,744,,
Osceola MN,0.24,56.4,307,,
Page IA,0.288,50.5,716,40.747616,-95.188476
Palo Alto IA,0.306,54.8,468,43.099878,-94.690212
Plymouth IA,0.226,57.3,1192,42.747907,-96.203431
Pocahontas IA,0.24,58.3,346,42.745402,-94.700868
Polk IA,0.381,42.6,12980,41.623296,-93.641654
Pottawattamie NE,0.341,44,3595,,
Poweshiek IA,0.316,50.8,699,41.709953,-92.620663
Sac IA,0.261,57.2,526,42.375805,-95.088801
Shelby IA,0.347,52.9,547,41.665153,-95.320336
Sioux IA,0.213,59.4,1603,43.079825,-96.16727
Story IA,0.263,51.1,2456,42.026371,-93.601827
Tama IA,0.231,51.1,747,42.065599,-92.542587
Taylor IA,0.336,51.9,318,40.755364,-94.673438
Union IA,0.318,48.9,554,41.053083,-94.318925
Union IA,0.202,52.8,619,41.053083,-94.318925
Van Buren IA,0.309,50.4,369,40.745557,-91.939134
Wapello IA,0.35,44.1,1378,41.016218,-92.418385
Warren IA,0.282,50.1,1767,41.400885,-93.588243
Washington IA,0.355,47,960,41.361978,-91.695465
Wayne IA,0.237,51.2,273,40.740054,-93.312926
Wayne IA,0.091,59.6,337,40.740054,-93.312926
Webster IA,0.38,44.4,1649,42.480374,-94.179066
Winnebago IA,0.356,49.8,588,43.34288,-93.667031
Winneshiek IA,0.185,58,767,43.281284,-91.814375
Woodbury IA,0.36,44.5,4417,42.483225,-96.344174
Worth IA,0.483,47.4,322,43.36654,-93.252258
Wright IA,0.315,49.8,593,42.732195,-93.755488
Allen KS,0.301,44.7,612,37.896584,-95.367053
Anderson KS,0.294,47.3,398,38.250112,-95.264386
Atchison KS,0.341,46.1,686,39.555583,-95.181488
Barber KS,0.226,56.9,270,37.212182,-98.557384
Barton KS,0.274,50.9,1252,38.394738,-98.757739
Bourbon MO,0.33,44.9,662,,
Brown KS,0.36,50.7,495,39.801273,-95.550384
Butler KS,0.275,45.2,2721,37.727135,-96.989771
Cherokee MO,0.387,43.6,916,,
Clay KS,0.308,50.3,406,39.356195,-97.12257
Cloud KS,0.316,51.2,425,39.53395,-97.637247
Coffey KS,0.323,47.9,446,38.247657,-95.739982
Cowley KS,0.33,44,1575,37.174285,-96.997786
Crawford MO,0.305,44.7,1407,38.059819,-91.322802
Crawford MO,0.304,42,860,38.059819,-91.322802
Dickinson KS,0.331,46.1,909,38.881314,-97.149128
Doniphan MO,0.351,49.6,373,,
Douglas KS,0.324,40.6,2802,38.941783,-95.251337
Ellis KS,0.246,53.1,1117,38.88156,-99.32999
Ellsworth KS,0.186,54.8,257,38.721016,-98.262851
Finney KS,0.334,45.3,1607,37.97733,-100.86582
Ford KS,0.336,45.3,1214,37.751112,-99.994842
Franklin KS,0.385,43,1057,38.602731,-95.260071
Geary KS,0.407,37.2,1246,39.03865,-96.83925
Grant KS,0.312,47.7,410,37.580306,-101.34973
Gray KS,0.175,54.4,322,37.726577,-100.412964
Greenwood KS,0.247,48.8,337,37.85753,-96.226569
Harper KS,0.323,50,291,37.215092,-98.051218
Harvey KS,0.279,46.3,1532,38.047085,-97.385273
Jackson KS,0.367,48.6,562,39.400924,-95.751346
Jefferson KS,0.214,49.6,927,39.210891,-95.397856
Johnson MO,0.278,46.5,16838,38.757209,-93.770312
Johnson MO,0.313,42.5,1688,38.757209,-93.770312
Kingman KS,0.198,52.3,387,37.608437,-98.097712
Labette KS,0.34,44.8,988,37.258236,-95.260544
Leavenworth KS,0.339,41.1,2704,39.238518,-94.959302
Linn MO,0.304,44.5,391,39.796774,-93.065191
Linn MO,0.336,48.4,682,39.796774,-93.065191
Lyon KS,0.342,45.5,1393,38.416154,-96.179779
McPherson KS,0.304,49.1,1313,38.381163,-97.647603
Marion KS,0.295,49.8,561,38.326437,-97.124507
Marshall KS,0.184,58.6,557,39.800028,-96.573612
Miami MO,0.271,47.9,1178,,
Mitchell KS,0.206,56.9,338,39.454968,-98.174198
Montgomery KS,0.376,42.8,1588,37.139982,-95.695334
Morris KS,0.283,46.7,258,38.698154,-96.588826
Nemaha KS,0.161,63.8,534,39.829915,-95.962628
Neosho KS,0.359,45.1,783,37.624963,-95.39482
Norton KS,0.237,51.3,257,39.820601,-99.878289
Osage KS,0.339,45.5,768,38.698945,-95.711621
Ottawa KS,0.319,49.4,271,39.096434,-97.681833
Pawnee KS,0.335,47.8,300,38.178541,-99.147286
Phillips KS,0.356,54.2,272,39.757048,-99.349355
Pottawatomie KS,0.252,50.9,856,39.258473,-96.316121
Pratt KS,0.289,49.4,428,37.645065,-98.731177
Reno KS,0.325,44.5,2599,38.050915,-97.933041
Republic KS,0.354,49.6,253,39.818188,-97.659183
Rice KS,0.304,45.6,487,38.321963,-98.201028
Riley KS,0.343,43.8,1577,39.189473,-96.633015
Rooks KS,0.335,49.8,265,39.314266,-99.316791
Russell KS,0.373,51.5,337,38.904508,-98.824959
Saline KS,0.355,42.6,2112,38.815777,-97.606733
Scott KS,0.229,52.7,279,38.482303,-100.913605
Sedgwick KS,0.347,40.1,16901,37.678808,-97.344603
Seward KS,0.303,45.9,879,37.052196,-100.9161
Shawnee KS,0.372,40.3,6752,39.035591,-95.705467
Sherman KS,0.264,49.2,281,39.349294,-101.726283
Stevens KS,0.279,52.4,253,37.190103,-101.322335
Sumner KS,0.278,45.3,1526,37.304076,-97.406852
Thomas KS,0.135,56.8,347,39.38443,-101.04619
Wabaunsee KS,0.409,48.2,324,38.984769,-96.177572
Washington KS,0.248,56,289,39.782029,-97.054087
Washington KS,0.359,41.5,2008,39.782029,-97.054087
Wilson KS,0.297,45.3,411,37.512574,-95.741217
Wyandotte MO,0.378,36,6568,,
Adair KY,0.176,41.5,506,37.107756,-85.279096
Allen KY,0.397,39.4,596,36.747908,-86.208056
Anderson KY,0.283,41.5,632,38.028088,-84.923071
Barren KY,0.381,43.2,1366,36.996774,-85.931813
Bath KY,0.372,39,405,38.139441,-83.73656
Bell TN,0.388,38.3,997,,
Boone OH,0.353,41.9,3524,,
Bourbon KY,0.369,38.7,695,38.202978,-84.246611
Boyd KY,0.322,39.2,2061,38.431905,-82.666548
Boyle KY,0.358,39.2,969,37.635777,-84.799493
Bracken KY,0.385,38.3,372,38.702562,-84.070088
Breathitt KY,0.26,36.5,478,37.520092,-83.37768
Breckinridge KY,0.322,44.9,715,37.770382,-86.410471
Bullitt KY,0.29,42.3,1916,38.022943,-85.655385
Butler KY,0.334,43.3,425,37.218921,-86.680574
Caldwell KY,0.403,42.9,492,37.127446,-87.87922
Calloway KY,0.29,41.9,972,36.620185,-88.305814
Campbell OH,0.46,39.1,3405,,
Carter KY,0.369,41.4,1060,38.313503,-83.03816
Casey KY,0.302,40.1,506,37.303319,-84.924168
Christian TN,0.39,37.9,2508,,
Clay KY,0.358,37.1,756,37.169598,-83.746759
Clinton KY,0.438,41,326,36.713992,-85.135223
Crittenden KY,0.321,47.6,307,37.332496,-88.095078
Daviess KY,0.376,42.4,3964,37.747732,-87.094971
Edmonson KY,0.393,42.4,304,37.196775,-86.255277
Estill KY,0.339,38.9,512,37.706277,-83.988899
Fayette KY,0.398,35.6,7630,38.020523,-84.496639
Fleming KY,0.35,41.4,528,38.388567,-83.708286
Franklin KY,0.376,37.6,1693,38.196045,-84.867592
Fulton TN,0.452,34.5,349,,
Garrard KY,0.354,38.7,500,37.649333,-84.575557
Grant OH,0.24,41.5,1015,,
Graves TN,0.371,42.3,1457,,
Grayson KY,0.339,43.3,952,37.46909,-86.306723
Green KY,0.285,47.6,314,37.265597,-85.538944
Greenup KY,0.346,40.8,1378,38.555431,-82.812206
Hancock KY,0.304,46,430,37.868017,-86.804762
Hardin KY,0.324,41.4,4402,37.746047,-85.917039
Harlan KY,0.228,43,1213,36.865625,-83.232825
Hart KY,0.388,39.6,613,37.278157,-85.885789
Henderson KY,0.374,39.6,1878,37.818482,-87.564405
Henry KY,0.294,41.9,658,38.431904,-85.179495
Hickman TN,0.326,38.6,817,35.852522,-87.403679
Hopkins KY,0.337,43.8,1817,37.305866,-87.523154
Jackson KY,0.27,41,498,37.402802,-83.99368
Jefferson KY,0.411,36,25402,38.201775,-85.691832
Jessamine KY,0.387,35.5,1455,37.884455,-84.587046
Johnson KY,0.283,44.3,911,37.829598,-82.813992
Kenton OH,0.446,36.9,5840,,
Knott KY,0.247,39.9,514,37.32759,-82.940555
Knox KY,0.38,38.2,939,36.901584,-83.915231
Larue KY,0.367,43.3,502,37.544796,-85.723408
Laurel KY,0.351,40.1,1689,37.091397,-84.087834
Lawrence KY,0.362,41.8,570,38.078995,-82.681643
Lawrence KY,0.365,39.6,2371,38.078995,-82.681643
Leslie KY,0.261,43.2,400,37.115255,-83.37635
Letcher KY,0.338,44.8,1009,37.14583,-82.807173
Lewis KY,0.387,41,558,38.562531,-83.347091
Lincoln KY,0.3,39.9,868,37.473121,-84.669872
Livingston KY,0.251,41.5,354,37.135813,-88.350899
Logan KY,0.33,43,1068,36.85949,-86.865922
McCracken KY,0.425,38.4,2526,37.048079,-88.648273
McCreary KY,0.31,38.5,562,36.715761,-84.446083
Mclean KY,0.345,45.7,432,,
Madison KY,0.374,38.1,2133,37.70616,-84.287451
Magoffin KY,0.37,40.8,549,37.729816,-83.056234
Marion KY,0.337,45.9,736,37.569587,-85.287195
Marshall KY,0.31,46,1046,36.898302,-88.339329
Martin KY,0.298,44.6,467,37.830545,-82.51692
Mason KY,0.337,38.8,616,38.616398,-83.788535
Meade KY,0.375,42.7,771,37.934298,-86.132811
Mercer KY,0.401,40.3,792,37.785009,-84.849691
Metcalfe KY,0.333,41.5,386,36.990816,-85.641586
Monroe KY,0.302,44.3,455,36.708328,-85.729921
Montgomery KY,0.396,37.4,767,38.035773,-83.917436
Morgan KY,0.343,41.1,428,37.91274,-83.266566
Muhlenberg KY,0.365,44,1143,37.23809,-87.14704
Nelson KY,0.388,43,1677,37.818018,-85.460371
Nicholas KY,0.406,39,279,38.327655,-84.023779
Ohio KY,0.325,43.8,794,37.465058,-86.864293
Oldham KY,0.301,44.1,1728,38.372848,-85.459538
Owen KY,0.341,41.2,271,38.531935,-84.831925
Pendleton OH,0.442,39.6,573,,
Perry KY,0.284,41.4,1219,37.257625,-83.20106
Pike KY,0.289,43.3,2549,37.463505,-82.420659
Powell KY,0.458,39.6,535,37.852293,-83.88113
Pulaski KY,0.417,38.7,2019,37.092819,-84.614645
Rockcastle KY,0.312,38.4,480,37.381612,-84.348396
Rowan KY,0.323,40,658,38.194616,-83.442318
Russell KY,0.322,40.7,608,37.029336,-85.05932
Scott KY,0.351,37.9,1212,38.231691,-84.570575
Scott KY,0.347,39.5,711,38.231691,-84.570575
Shelby KY,0.301,40.2,1012,38.213513,-85.230241
Simpson KY,0.309,40.8,551,36.733285,-86.572109
Spencer KY,0.287,42.8,416,38.059721,-85.350915
Taylor KY,0.412,41.6,887,37.350402,-85.343425
Todd TN,0.224,42.2,411,,
